# File, Counts, Atom Detected (threshold=7326), Max Count, X-pos (pix), Y-pos (pix), Mean Count, s.d.
479.0,6996.0,0.0,814.0,6.0,0.0,776.0601851851852,777.0327312470398
480.0,7427.0,1.0,943.0,9.0,9.0,777.3958333333334,778.3707402521902
481.0,7417.0,1.0,940.0,9.0,9.0,778.0185185185185,779.0106403164325
482.0,6992.0,0.0,816.0,6.0,2.0,779.2037037037037,780.1955017056113
483.0,7480.0,1.0,950.0,9.0,9.0,781.2986111111111,782.2858068038063
484.0,7493.0,1.0,953.0,9.0,9.0,781.6666666666666,782.6523261149141
485.0,7460.0,1.0,952.0,9.0,9.0,781.2361111111111,782.2171831260971
486.0,7500.0,1.0,936.0,9.0,9.0,780.7870370370371,781.7726213897007
487.0,7067.0,0.0,813.0,18.0,9.0,782.4861111111111,783.4673690266023
488.0,7068.0,0.0,812.0,1.0,4.0,782.2800925925926,783.2684732325773
489.0,7481.0,1.0,971.0,9.0,9.0,783.4189814814815,784.4057188639964
490.0,7055.0,0.0,816.0,6.0,0.0,784.1412037037037,785.1338529533447
491.0,7049.0,0.0,829.0,6.0,1.0,784.511574074074,785.500885022563
492.0,7042.0,0.0,818.0,11.0,14.0,783.613425925926,784.6098221956228
493.0,7126.0,0.0,832.0,6.0,2.0,785.5648148148148,786.5634614487956
494.0,7063.0,0.0,817.0,13.0,16.0,784.0324074074074,785.0268560585547
495.0,7585.0,1.0,973.0,9.0,9.0,787.3495370370371,788.3460394764704
496.0,7070.0,0.0,818.0,6.0,5.0,785.2986111111111,786.2989917381
497.0,7086.0,0.0,812.0,7.0,0.0,786.1620370370371,787.1459886352683
498.0,7075.0,0.0,820.0,2.0,5.0,785.2430555555555,786.2267624812598
499.0,7085.0,0.0,822.0,1.0,10.0,786.3171296296297,787.3180576475506
500.0,7071.0,0.0,818.0,18.0,2.0,784.8148148148148,785.8093172409226
501.0,7515.0,1.0,950.0,9.0,9.0,784.7962962962963,785.785188171014
502.0,7052.0,0.0,820.0,0.0,1.0,787.3333333333334,788.3318962558171
503.0,7049.0,0.0,817.0,18.0,0.0,784.9930555555555,785.9811770474238
504.0,7027.0,0.0,824.0,18.0,9.0,787.5254629629629,788.5278906536832
505.0,7475.0,1.0,955.0,9.0,9.0,784.9513888888889,785.9430279323384
506.0,7059.0,0.0,817.0,0.0,4.0,786.375,787.369926649546
507.0,7080.0,0.0,817.0,3.0,3.0,786.5347222222222,787.5408537261435
508.0,7097.0,0.0,821.0,17.0,4.0,787.8449074074074,788.8395027005695
509.0,7486.0,1.0,965.0,9.0,9.0,786.1666666666666,787.1550789580579
510.0,7109.0,0.0,818.0,8.0,5.0,786.4745370370371,787.4782639802189
511.0,7074.0,0.0,815.0,8.0,12.0,785.3449074074074,786.3370262129995
512.0,7071.0,0.0,819.0,6.0,0.0,786.2870370370371,787.2778234077844
513.0,7112.0,0.0,826.0,8.0,2.0,785.3819444444445,786.3776198626724
514.0,7120.0,0.0,824.0,8.0,9.0,787.8449074074074,788.8360084706204
515.0,7092.0,0.0,817.0,14.0,13.0,787.8379629629629,788.8351863831266
516.0,7104.0,0.0,843.0,8.0,2.0,786.6018518518518,787.6073756576021
517.0,7543.0,1.0,953.0,9.0,9.0,786.7893518518518,787.7821123969044
518.0,7132.0,0.0,820.0,7.0,6.0,786.5092592592592,787.4958844219051
519.0,7609.0,1.0,985.0,9.0,9.0,788.0439814814815,789.0330112279363
520.0,7115.0,0.0,827.0,7.0,3.0,787.113425925926,788.1124341213666
521.0,7067.0,0.0,814.0,6.0,4.0,783.4027777777778,784.3940987081476
522.0,7017.0,0.0,818.0,5.0,6.0,786.7407407407408,787.738741478408
523.0,7078.0,0.0,824.0,13.0,7.0,785.9398148148148,786.9346620990799
524.0,7020.0,0.0,823.0,10.0,16.0,785.3101851851852,786.3012771043108
525.0,7154.0,0.0,825.0,14.0,15.0,787.0694444444445,788.0638614046276
526.0,7590.0,1.0,983.0,9.0,9.0,787.0324074074074,788.0231897373358
527.0,7498.0,1.0,946.0,9.0,9.0,788.25,789.2563182913881
528.0,7108.0,0.0,825.0,4.0,20.0,789.0370370370371,790.0421175885531
529.0,7120.0,0.0,820.0,3.0,2.0,786.9351851851852,787.9368312980484
530.0,7158.0,0.0,824.0,7.0,7.0,788.3379629629629,789.3361421115972
531.0,7065.0,0.0,817.0,20.0,17.0,786.0277777777778,787.0171122884195
532.0,7100.0,0.0,822.0,2.0,4.0,788.3263888888889,789.3230483838521
533.0,7123.0,0.0,825.0,8.0,20.0,787.0138888888889,788.0058063314414
534.0,7055.0,0.0,828.0,2.0,3.0,787.3425925925926,788.3402253499896
535.0,7049.0,0.0,815.0,11.0,16.0,786.7847222222222,787.7767520921717
536.0,7550.0,1.0,960.0,9.0,9.0,789.7708333333334,790.7738771772788
537.0,7122.0,0.0,831.0,3.0,10.0,788.449074074074,789.4588677976298
538.0,7031.0,0.0,831.0,3.0,3.0,787.1597222222222,788.1616853332685
539.0,7087.0,0.0,829.0,4.0,2.0,785.7685185185185,786.780691265674
540.0,7056.0,0.0,828.0,15.0,5.0,787.8703703703703,788.8667809864043
541.0,7105.0,0.0,831.0,3.0,10.0,787.4236111111111,788.4252668402448
542.0,7544.0,1.0,966.0,9.0,9.0,786.0601851851852,787.0510291625318
543.0,7015.0,0.0,820.0,2.0,2.0,787.0347222222222,788.0309847630585
544.0,7055.0,0.0,822.0,20.0,11.0,786.2638888888889,787.2571462903026
545.0,7145.0,0.0,819.0,2.0,16.0,787.2476851851852,788.2369339463377
546.0,7049.0,0.0,819.0,14.0,0.0,785.5949074074074,786.591190324463
547.0,7089.0,0.0,832.0,15.0,5.0,786.3217592592592,787.3211990881756
548.0,7132.0,0.0,831.0,15.0,5.0,788.2245370370371,789.2375377231344
549.0,7088.0,0.0,824.0,0.0,4.0,789.4907407407408,790.4999798212823
550.0,7092.0,0.0,821.0,6.0,5.0,786.1527777777778,787.1526383758668
551.0,7063.0,0.0,824.0,20.0,14.0,787.1064814814815,788.1004299599234
552.0,7084.0,0.0,824.0,2.0,19.0,788.5787037037037,789.5834021532598
553.0,7012.0,0.0,820.0,3.0,3.0,787.8842592592592,788.88910703714
554.0,7135.0,0.0,837.0,14.0,1.0,788.8587962962963,789.8568095435821
555.0,7067.0,0.0,822.0,8.0,18.0,787.1388888888889,788.1385570766172
556.0,7107.0,0.0,825.0,3.0,3.0,787.2222222222222,788.2211609744365
557.0,7090.0,0.0,826.0,3.0,3.0,786.7222222222222,787.7311188122783
558.0,7123.0,0.0,822.0,1.0,2.0,786.0300925925926,787.0317537676069
559.0,7051.0,0.0,816.0,2.0,20.0,787.1481481481482,788.148575037795
560.0,7031.0,0.0,818.0,4.0,3.0,785.6851851851852,786.6814819609807
561.0,7066.0,0.0,818.0,16.0,6.0,788.0925925925926,789.0890280567434
562.0,7099.0,0.0,818.0,3.0,4.0,785.7129629629629,786.7068045261227
563.0,7542.0,1.0,980.0,9.0,9.0,785.6111111111111,786.6070313757339
564.0,7078.0,0.0,821.0,2.0,19.0,786.0856481481482,787.0826113712396
565.0,7067.0,0.0,827.0,3.0,7.0,785.9745370370371,786.974515871442
566.0,7130.0,0.0,821.0,3.0,3.0,786.8333333333334,787.8337829806287
567.0,7009.0,0.0,822.0,3.0,4.0,784.9513888888889,785.950481959778
568.0,7096.0,0.0,830.0,2.0,18.0,787.488425925926,788.4891467678966
569.0,7612.0,1.0,953.0,9.0,9.0,785.738425925926,786.7417684404564
570.0,7071.0,0.0,819.0,4.0,1.0,788.2037037037037,789.2023257092394
571.0,7031.0,0.0,823.0,3.0,19.0,786.199074074074,787.1982064520341
572.0,7151.0,0.0,821.0,10.0,0.0,785.6180555555555,786.6143065603262
573.0,7586.0,1.0,968.0,9.0,9.0,785.4212962962963,786.4276037055602
574.0,7100.0,0.0,824.0,3.0,19.0,787.8842592592592,788.8870600431219
575.0,7547.0,1.0,972.0,9.0,9.0,786.3541666666666,787.3475648879819
576.0,7521.0,1.0,963.0,9.0,9.0,786.5347222222222,787.5402055806627
577.0,7634.0,1.0,974.0,9.0,9.0,789.5995370370371,790.5972440631106
578.0,7616.0,1.0,967.0,9.0,9.0,787.2638888888889,788.2692044898746
579.0,7131.0,0.0,822.0,9.0,16.0,785.8194444444445,786.8152110464736
580.0,7104.0,0.0,829.0,3.0,3.0,786.761574074074,787.761248236252
581.0,7020.0,0.0,820.0,5.0,6.0,785.9699074074074,786.9706418814457
582.0,7112.0,0.0,828.0,2.0,19.0,786.0439814814815,787.0443063380937
583.0,7540.0,1.0,985.0,9.0,9.0,787.9722222222222,788.9690327070928
584.0,7078.0,0.0,822.0,14.0,0.0,785.8402777777778,786.8388175643001
585.0,7074.0,0.0,832.0,14.0,1.0,787.2476851851852,788.2479749860481
586.0,7542.0,1.0,957.0,9.0,9.0,787.1203703703703,788.127090579224
587.0,7133.0,0.0,830.0,3.0,19.0,787.3263888888889,788.3241218646612
588.0,7077.0,0.0,823.0,7.0,7.0,785.3287037037037,786.331539506843
589.0,7559.0,1.0,971.0,9.0,9.0,785.5370370370371,786.5319572157115
590.0,7549.0,1.0,969.0,9.0,9.0,785.5092592592592,786.5140157579893
591.0,7137.0,0.0,817.0,9.0,12.0,784.3518518518518,785.3490128126183
592.0,7132.0,0.0,816.0,3.0,8.0,786.0370370370371,787.0250455187445
593.0,7136.0,0.0,829.0,13.0,17.0,787.6388888888889,788.6371721692722
594.0,7178.0,0.0,827.0,3.0,1.0,785.800925925926,786.8003989255598
595.0,7084.0,0.0,819.0,16.0,11.0,784.2407407407408,785.2308008941408
596.0,7048.0,0.0,818.0,7.0,7.0,785.2453703703703,786.2415219628563
597.0,7103.0,0.0,827.0,9.0,11.0,786.0694444444445,787.0605539253277
598.0,7073.0,0.0,832.0,14.0,0.0,785.6319444444445,786.6234502201132
599.0,7625.0,1.0,985.0,9.0,9.0,786.6111111111111,787.6024030204704
600.0,7083.0,0.0,816.0,16.0,10.0,786.0787037037037,787.0770532184357
601.0,7055.0,0.0,829.0,4.0,4.0,786.8958333333334,787.8966404353307
602.0,7125.0,0.0,823.0,8.0,3.0,786.9467592592592,787.9333728177783
603.0,7098.0,0.0,817.0,3.0,8.0,785.5810185185185,786.5726986164831
604.0,7028.0,0.0,816.0,16.0,0.0,785.9629629629629,786.950748318103
605.0,7132.0,0.0,827.0,1.0,5.0,786.7430555555555,787.7473316163486
606.0,7049.0,0.0,824.0,4.0,19.0,784.0138888888889,784.997427102054
607.0,7504.0,1.0,960.0,9.0,9.0,785.1620370370371,786.1585565915366
608.0,7135.0,0.0,826.0,8.0,20.0,786.1157407407408,787.1034301442089
609.0,7147.0,0.0,822.0,3.0,8.0,786.2476851851852,787.2304724191871
610.0,7067.0,0.0,815.0,3.0,2.0,785.6875,786.6859015239897
611.0,7123.0,0.0,822.0,9.0,0.0,787.7476851851852,788.7390756557946
612.0,7091.0,0.0,819.0,4.0,4.0,788.2800925925926,789.2738990382338
613.0,7130.0,0.0,820.0,10.0,15.0,788.3726851851852,789.3692935949141
614.0,7079.0,0.0,822.0,16.0,11.0,784.8518518518518,785.851322849386
615.0,7069.0,0.0,829.0,3.0,2.0,785.1388888888889,786.1439829630167
616.0,7082.0,0.0,820.0,3.0,11.0,786.0648148148148,787.0597167177433
617.0,7104.0,0.0,823.0,3.0,2.0,787.0787037037037,788.0711040034378
618.0,7099.0,0.0,831.0,8.0,7.0,786.6736111111111,787.6736062461393
619.0,7546.0,1.0,994.0,9.0,9.0,787.3287037037037,788.3415262111694
620.0,7132.0,0.0,837.0,3.0,0.0,786.2870370370371,787.2906814953252
621.0,7086.0,0.0,819.0,3.0,11.0,784.4837962962963,785.468658777111
622.0,7096.0,0.0,824.0,9.0,14.0,787.2430555555555,788.2514541619312
623.0,7148.0,0.0,827.0,9.0,9.0,786.2268518518518,787.2288352055699
624.0,7564.0,1.0,980.0,9.0,9.0,787.2037037037037,788.22201166624
625.0,7103.0,0.0,816.0,2.0,10.0,787.136574074074,788.1372338012869
626.0,7088.0,0.0,821.0,2.0,19.0,788.8587962962963,789.8676693186035
627.0,7132.0,0.0,825.0,8.0,0.0,785.8657407407408,786.8580387120963
628.0,7109.0,0.0,823.0,3.0,3.0,787.1087962962963,788.1211865191616
629.0,7128.0,0.0,817.0,3.0,3.0,785.4907407407408,786.4940206686658
630.0,7125.0,0.0,831.0,16.0,11.0,785.8287037037037,786.8244408354735
631.0,7606.0,1.0,995.0,9.0,9.0,787.6064814814815,788.6088400165219
632.0,7083.0,0.0,821.0,2.0,18.0,786.4143518518518,787.4224728899125
633.0,7122.0,0.0,824.0,9.0,12.0,786.3888888888889,787.3875716158053
634.0,7154.0,0.0,820.0,4.0,2.0,789.0069444444445,790.0023803893769
635.0,7074.0,0.0,834.0,3.0,3.0,786.800925925926,787.8092123023182
636.0,7548.0,1.0,977.0,9.0,9.0,787.5370370370371,788.5311905784584
637.0,7037.0,0.0,819.0,9.0,5.0,786.5347222222222,787.5312375493492
638.0,7542.0,1.0,977.0,9.0,9.0,785.1574074074074,786.1504670510268
639.0,7121.0,0.0,825.0,17.0,6.0,788.6527777777778,789.6477466599297
640.0,7112.0,0.0,824.0,4.0,3.0,786.8888888888889,787.8863056472362
641.0,7115.0,0.0,820.0,16.0,10.0,787.6111111111111,788.6026379930846
642.0,7122.0,0.0,833.0,8.0,3.0,787.6828703703703,788.6878747673913
643.0,7105.0,0.0,813.0,3.0,6.0,786.7037037037037,787.7088895420522
644.0,7066.0,0.0,836.0,14.0,0.0,786.1736111111111,787.1735790913524
